PassengerId,Survived
626,0
208,0
700,0
622,0
76,0
459,1
205,0
377,1
590,0
190,0
74,0
502,1
110,1
164,0
276,1
554,0
724,0
115,0
442,0
48,1
874,0
141,1
107,1
86,0
720,0
592,1
124,1
832,1
414,0
791,0
171,0
161,0
632,0
223,0
484,0
315,0
418,1
344,0
343,0
356,0
560,0
649,0
824,1
295,0
209,1
257,1
586,1
690,1
216,1
88,0
184,1
275,1
843,1
524,1
837,0
108,0
681,1
785,0
91,0
802,1
215,0
292,1
407,0
237,0
321,0
168,0
891,0
81,0
881,1
749,0
404,0
300,1
226,0
36,0
753,0
242,1
137,1
127,0
628,1
756,1
752,1
873,0
759,0
397,1
493,0
2,1
532,0
867,1
508,1
863,1
204,0
373,0
30,0
885,0
143,0
432,0
522,0
85,1
421,0
246,0
855,1
131,0
396,0
547,1
109,0
380,0
565,0
50,0
287,0
697,0
644,1
558,0
195,1
624,0
61,0
365,0
252,1
437,0
872,1
331,1
535,0
762,0
693,1
450,0
822,0
33,1
240,0
97,0
466,0
657,0
3,0
573,1
116,0
283,0
599,0
475,0
197,0
629,0
47,0
18,0
170,1
645,1
765,0
51,0
825,0
95,0
741,1
289,0
24,0
630,0
658,1
525,0
782,1
72,0
866,1
701,1
439,0
58,0
672,0
819,0
727,1
495,0
112,1
401,0
134,1
157,1
203,0
233,0
352,0
840,0
327,0
175,0
346,1
422,0
884,0
499,1
596,0
516,0
395,0
7,0
158,0
428,1
865,0
591,0
258,1
445,0
8,1
230,0
735,0
505,1
328,1
245,0
887,0
451,0
425,0
496,0
1,0
369,1
382,1
549,0
155,0
766,1
98,0
688,0
56,0
410,0
165,0
77,0
416,1
830,1
686,0
60,0
705,0
551,0
403,0
193,0
604,0
66,1
747,0
378,0
387,0
679,0
409,0
620,0
218,0
456,0
105,0
55,0
680,1
220,0
531,1
308,1
617,0
742,0
337,0
394,1
615,0
536,1
408,1
311,1
253,0
320,1
811,0
553,0
386,0
883,0
285,1
21,0
813,0
228,0
236,1
728,1
744,0
153,0
784,0
129,0
797,0
513,1
278,0
214,0
177,1
438,1
660,0
235,0
563,0
92,0
559,1
845,0
